SiteId,latitude,longitude,DateHrGmt,DateHrLwt,WindSpeedMph,WindDirectionDegrees,SurfaceWindGustsMph,ZeroToTenLiquidSoilMoisturePercent,TenToFortyLiquidSoilMoisturePercent,FortyToOneHundredLiquidSoilMoisturePercent,SurfaceTemperatureFahrenheit,SurfaceDewpointTemperatureFahrenheit,SurfaceWetBulbTemperatureFahrenheit,RelativeHumidityPercent,time_stamp,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime_start,lat_start,long_start,distance,duration,speed_mph
2161142584,36.46616,-121.89671,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,367,0.37,0.58,7/22/2016,2021,N,VIIRS,h,1,309.3,77.2,N,3,7/22/2016 20:21,36.46616,-121.89671,0,0,0
2161142584,36.46486,-121.90179,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,267.7,0.37,0.58,7/22/2016,2021,N,VIIRS,l,1,306.9,77.2,N,3,7/22/2016 20:21,36.46616,-121.89671,0.296552193,0,0
2161142584,36.46379,-121.89375,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,367,0.37,0.58,7/22/2016,2021,N,VIIRS,h,1,306.1,77.7,N,3,7/22/2016 20:21,36.46616,-121.89671,0.232351864,0,0
2161142584,36.46245,-121.8989,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,367,0.37,0.58,7/22/2016,2021,N,VIIRS,h,1,342.5,77.7,N,3,7/22/2016 20:21,36.46616,-121.89671,0.284072504,0,0
2161142584,36.46112,-121.90392,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,356.6,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,301.6,55.2,N,3,7/22/2016 20:21,36.46616,-121.89671,0.531419843,0,0
2161142584,36.46092,-121.89485,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,367,0.37,0.58,7/22/2016,2021,N,VIIRS,h,1,325.5,77.2,N,3,7/22/2016 20:21,36.46616,-121.89671,0.376933712,0,0
2161142584,36.45845,-121.90452,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,344.4,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,299.4,42.3,N,3,7/22/2016 20:21,36.46616,-121.89671,0.687881575,0,0
2161142584,36.45745,-121.89615,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,346.8,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,299.8,77.7,N,3,7/22/2016 20:21,36.46616,-121.89671,0.603280762,0,0
2161142584,36.45623,-121.90076,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,354.1,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,316.5,55.2,N,3,7/22/2016 20:21,36.46616,-121.89671,0.722872681,0,0
2161142584,36.45469,-121.8969,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,345.1,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,299.6,6,N,3,7/22/2016 20:21,36.46616,-121.89671,0.793457097,0,0
2161142584,36.45349,-121.90156,7/23/2016 3:00,7/22/2016 20:00,6.4,318,36.8,14,24.4,25.4,60.4,50.3,54.6,70,7/22/2016 20:21,333,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,298.9,4,N,3,7/22/2016 20:21,36.46616,-121.89671,0.916985478,0,0
2155037238,36.29527,-121.5652,7/23/2016 4:00,7/22/2016 21:00,5.4,339,37.8,12.8,22.7,24.1,55.8,44.8,49.9,67,7/22/2016 21:00,344.4,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,299.4,42.3,N,3,7/22/2016 20:21,36.46616,-121.89671,21.92139793,0.65,33.72522758
2156245158,36.35668,-121.87924,7/23/2016 4:00,7/22/2016 21:00,8.6,340,16.8,14.5,24.6,25.5,55,50.1,52,83,7/22/2016 21:00,344.4,0.37,0.58,7/22/2016,2021,N,VIIRS,n,1,299.4,42.3,N,3,7/22/2016 20:21,36.46616,-121.89671,7.634985197,0.65,11.74613107
2161142584,36.4606,-121.8953,7/23/2016 4:00,7/22/2016 21:00,5.9,317,37,14,24.4,25.4,55.5,50.7,52.7,84,7/22/2016 21:24,372.5,1,1,7/22/2016,2124,Aqua,MODIS,100,6.2,316,120.2,D,3,7/22/2016 20:21,36.46616,-121.89671,0.392505762,1.05,0.373815011
2161142584,36.4591,-121.9065,7/23/2016 4:00,7/22/2016 21:00,5.9,317,37,14,24.4,25.4,55.5,50.7,52.7,84,7/22/2016 21:24,338.3,1,1,7/22/2016,2124,Aqua,MODIS,81,6.2,309.9,29.7,D,3,7/22/2016 20:21,36.46616,-121.89671,0.731498126,1.05,0.696664882
2155037238,36.29527,-121.5652,7/23/2016 5:00,7/22/2016 22:00,4.9,344,37.5,12.8,22.7,24.1,52.5,44.5,48.5,75,7/22/2016 22:00,372.5,1,1,7/22/2016,2124,Aqua,MODIS,100,6.2,316,120.2,D,3,7/22/2016 20:21,36.46616,-121.89671,21.92139793,1.65,13.28569571
2156245158,36.35668,-121.87924,7/23/2016 5:00,7/22/2016 22:00,8,342,16.7,14.5,24.6,25.5,53.2,49.6,51,86,7/22/2016 22:00,372.5,1,1,7/22/2016,2124,Aqua,MODIS,100,6.2,316,120.2,D,3,7/22/2016 20:21,36.46616,-121.89671,7.634985197,1.65,4.627263756
2161142584,36.46513,-121.8858,7/23/2016 5:00,7/22/2016 22:00,5.3,318,36.9,14,24.4,25.4,53.7,50.3,51.6,88,7/22/2016 22:01,367,0.5,0.66,7/22/2016,2201,N,VIIRS,h,1,320.6,227.8,N,3,7/22/2016 20:21,36.46616,-121.89671,0.611068111,1.666666667,0.366640867
2161142584,36.46493,-121.89057,7/23/2016 5:00,7/22/2016 22:00,5.3,318,36.9,14,24.4,25.4,53.7,50.3,51.6,88,7/22/2016 22:01,367,0.5,0.66,7/22/2016,2201,N,VIIRS,h,1,348.5,76.9,N,3,7/22/2016 20:21,36.46616,-121.89671,0.351992854,1.666666667,0.211195713
2161142584,36.46474,-121.89534,7/23/2016 5:00,7/22/2016 22:00,5.3,318,36.9,14,24.4,25.4,53.7,50.3,51.6,88,7/22/2016 22:01,351.3,0.5,0.66,7/22/2016,2201,N,VIIRS,n,1,314,76.9,N,3,7/22/2016 20:21,36.46616,-121.89671,0.124320711,1.666666667,0.074592426
